FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
//ServiceAccount/argo-chaos/path=2905992350/api=rbac.authorization.k8s.io/v1//ClusterRole/chaos-cluster-role/path=2922769969/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/chaos-cluster-role-binding,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-applicationset-controller/path=2453284560/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-applicationset-controller/path=2517065128/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-applicationset-controller,High,List Kubernetes secrets,0,0,N/A
/system/ServiceAccount/controller-manager/path=3277536337/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/manager-rolebinding/path=736734862/api=rbac.authorization.k8s.io/v1//ClusterRole/manager-role,High,List Kubernetes secrets,0,0,N/A
/monitoring-system/ServiceAccount/monitoring-system/path=4009919479/api=rbac.authorization.k8s.io/v1//ClusterRole/vm-operator-manager-role/path=978732813/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/vm-operator-manager-rolebinding,High,List Kubernetes secrets,0,0,N/A
/mongodb/ServiceAccount/mongodb-enterprise-appdb/path=2665546391/api=rbac.authorization.k8s.io/v1/mongodb/Role/mongodb-enterprise-appdb/path=3562486683/api=rbac.authorization.k8s.io/v1/mongodb/RoleBinding/mongodb-enterprise-appdb,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=3160695952/api=rbac.authorization.k8s.io/v1/litmus/ClusterRole/subscriber-cr-for-litmusportal-server/path=3177473571/api=rbac.authorization.k8s.io/v1/litmus/ClusterRoleBinding/subscriber-crb-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=3362027380/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server/path=3378804999/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-application-controller/path=255269376/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=352310992/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-server/path=1984259761/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-server/path=688157562/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-server,High,List Kubernetes secrets,0,0,N/A
/default/ServiceAccount/grafana-operator-controller-manager/path=618824558/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/grafana-operator-permissions/path=635602177/api=rbac.authorization.k8s.io/v1//ClusterRole/grafana-operator-permissions,High,List Kubernetes secrets,0,0,N/A
/argocd/ServiceAccount/argocd-applicationset-controller/path=363670772/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-applicationset-controller/path=369088611/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-applicationset-controller,High,List Kubernetes secrets,0,0,N/A
/litmus/ServiceAccount/litmus-server-account/path=225580545/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin-cr-for-litmusportal-server/path=3378804999/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin-crb-for-litmusportal-server,High,List Kubernetes secrets,0,0,N/A
/kube-system/ServiceAccount/secrets-store-csi-driver/path=242731935/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/secretproviderrotation-rolebinding/path=3786060670/api=rbac.authorization.k8s.io/v1//ClusterRole/secretproviderrotation-role,High,List Kubernetes secrets,0,0,N/A
/shifu-service/ServiceAccount/telemetry-service-sa/path=2095683089/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/telemetryservice-secret-view-clusterrolebinding/path=2628146147/api=rbac.authorization.k8s.io/v1//ClusterRole/secret-view,High,List Kubernetes secrets,0,0,N/A
/kube-system/ServiceAccount/secrets-store-csi-driver/path=4080082664/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/secretprovidersyncing-rolebinding/path=4096860283/api=rbac.authorization.k8s.io/v1//ClusterRole/secretprovidersyncing-role,High,List Kubernetes secrets,0,0,N/A
